timebank,latitude,longitude,geo_accuracy,age_median,female_percent,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific,race_percent_other,race_percent_multi,race_percent_multi_other,race_percent_three,race_percent_hisp,race_percent_hisp_white,race_percent_hisp_black,race_percent_hisp_native,race_percent_hisp_asian,race_percent_hisp_pacific,race_percent_hisp_other,households_number,households_income_median,bachelors_male_percent,bachelors_female_percent,veteran_percent,households_family_percent,households_nowife_percent,households_nohusband_percent,housing_number_units,housing_percent_renters,housing_median_value
dhe,39.754821,-75.56106700000001,1,38.6,0.473,0.883,0.11699999999999999,0,0,0,0,0,0,0,0.084,0.23399999999999999,0.7659999999999999,0,0,0,0,657,45625,0.33899999999999997,0.298,0.065,0.233,0.044000000000000004,0,842,0.746,0
denton,33.204097,-97.127073,0.9,28.1,0.45899999999999996,0.152,0.848,0,0,0,0,0.008,1,0,0.5770000000000001,0.965,0,0,0,0,0.022000000000000002,375,52650,0.192,0.077,0.013000000000000001,0.7170000000000001,0.045,0.43700000000000006,426,0.46399999999999997,85700
dunedin,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durham,35.985744,-78.898165,1,26.5,0.43700000000000006,0.127,0.873,0,0,0,0,0,0,0,0.254,0.042,0,0,0,0,0.958,88,0,0.23199999999999998,0,0.049,0.523,0,0.264,96,1,0
eann,35.573833,-82.506772,1,44.5,0.5,0.893,0.084,0,0,0,0,0.006999999999999999,1,0,0.048,0.863,0,0,0,0,0,951,46699,0.23399999999999999,0.251,0.132,0.353,0.02,0.138,984,0.65,175500
earn,37.699328,-122.065184,1,53.3,0.43200000000000005,0.887,0.044000000000000004,0,0.069,0,0,0.017,0,1,0.28,0.941,0,0,0,0,0,346,122095,0.15,0.172,0.022000000000000002,0.6709999999999999,0,0.083,360,0.11599999999999999,647700
eastbay,42.99564,-71.454789,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fablabchch,39.855113,-75.151288,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairbanks,64.856569,-147.805354,1,28.6,0.48100000000000004,0.8109999999999999,0.135,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,400,62273,0.026000000000000002,0.033,0.271,0.408,0.083,0.247,427,0.648,0
farnorth,38.427847,-84.81050400000001,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmster,38.324138,-122.70808000000001,1,31.8,0.47,0.892,0.07200000000000001,0,0.003,0,0,0.013999999999999999,0,1,0.49,0.134,0,0,0,0,0.838,261,54550,0.275,0.27699999999999997,0.027999999999999997,0.5670000000000001,0,0.11800000000000001,286,0.556,472200
flourish,30.352315,-97.9619,1,40.1,0.56,0.85,0.011000000000000001,0,0.07400000000000001,0,0,0,0,0,0.239,1,0,0,0,0,0,1227,100066,0.281,0.355,0.064,0.705,0.105,0.008,1482,0.245,337600
frederick,39.41312,-77.417788,1,34.9,0.46299999999999997,0.617,0.358,0,0,0,0,0,0,0,0.12,1,0,0,0,0,0,463,48299,0.209,0.307,0.075,0.45399999999999996,0.07200000000000001,0.345,513,0.674,217900
ghoodcalgary,51.078851,-114.05994,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karma,32.771426,-117.071455,1,20.4,0.5,0.664,0.027000000000000003,0,0.24600000000000002,0,0.02,0,0,0,0.213,0.625,0.061,0.043,0.025,0.025,0.22,252,15263,0,0.41700000000000004,0.001,0.067,0.069,0,363,1,0
globetable,37.756487,-122.44300600000001,1,41.5,0.43200000000000005,0.747,0,0.027000000000000003,0.17300000000000001,0,0,0,0,0,0.011000000000000001,0,0,0,0,0,1,449,186806,0.293,0.5770000000000001,0.066,0.336,0.063,0,501,0.599,1362500
goodneighborstb,40.151576,-75.285035,1,44.4,0.522,0.7959999999999999,0,0,0.177,0,0.004,0,0,0,0,0,0,0,0,0,0,464,131944,0.34,0.42200000000000004,0.039,0.9329999999999999,0.024,0.043,464,0.084,410700
scgm,32.768394,-108.27718,1,46.5,0.491,0.927,0.016,0,0,0,0,0.016,0.37,0.63,0.655,0.956,0,0,0,0,0.019,693,30272,0.11699999999999999,0.105,0.10400000000000001,0.596,0.07200000000000001,0.182,981,0.325,96500
greatbay,43.13363,-70.925249,0.8,25.7,0.426,0.988,0,0,0.004,0,0,0,0,0,0.011000000000000001,1,0,0,0,0,0,351,63487,0.247,0.409,0.046,0.5529999999999999,0.037000000000000005,0.08,381,0.45899999999999996,301100
gct,41.465352,-81.587754,1,22.9,0.5539999999999999,0.004,0.996,0,0,0,0,0,0,0,0.001,1,0,0,0,0,0,223,0,0.038,0,0.035,0.7490000000000001,0.22699999999999998,0.485,345,0.637,82200
greaterheights,41.466262,-81.559045,1,49.9,0.48700000000000004,0.55,0.344,0,0.052000000000000005,0,0,0.01,0,1,0.01,0,0,0,0,0,0,438,33333,0.16,0.22,0.139,0.425,0.027000000000000003,0.032,486,0.6459999999999999,214700
gwtb,43.543772,-80.249205,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choptank,38.659977000000005,-76.06019,1,37.6,0.569,0.613,0.27699999999999997,0,0.013000000000000001,0.027000000000000003,0,0,0,0,0.067,1,0,0,0,0,0,457,62917,0.033,0.111,0.114,0.67,0.1,0.18600000000000003,490,0.348,210200
healthyoutcomeswin,39.028495,-77.143757,1,61.9,0.624,0.561,0.11,0,0.261,0,0,0,0,0,0.10099999999999999,0.902,0,0.098,0,0,0,562,41053,0.267,0.312,0.05,0.43799999999999994,0.022000000000000002,0.168,562,0.406,292600
bc-historyofmoney,42.336956,-71.17050400000001,1,21.9,0.48100000000000004,0.7709999999999999,0.036000000000000004,0,0.14400000000000002,0,0,0.011000000000000001,1,0,0.08800000000000001,0.41,0.077,0,0,0,0.39299999999999996,186,211250,0.27899999999999997,0.237,0.03,0.516,0,0.018000000000000002,192,0.215,1654400
hopexchange,33.698659,-117.719797,1,35.4,0.513,0.433,0.006999999999999999,0.002,0.496,0,0,0.015,0.321,0.679,0.09300000000000001,0.6990000000000001,0,0,0,0,0.138,4169,119676,0.392,0.408,0.03,0.7040000000000001,0.052000000000000005,0.057999999999999996,4294,0.485,796800
hour4ourworld,39.219239,-94.48592,1,41.8,0.525,0.963,0.004,0.009000000000000001,0,0,0,0.006,0,1,0.191,0.395,0.057,0.026000000000000002,0,0,0.489,871,62454,0.091,0.172,0.057999999999999996,0.752,0.10099999999999999,0.166,919,0.406,138800
hourcommunityinterfaith,39.698928,-104.909922,1,47.6,0.578,0.685,0.081,0.022000000000000002,0.156,0,0,0.024,1,0,0.064,0.242,0,0.21,0,0,0.177,594,47794,0.268,0.23600000000000002,0.033,0.268,0.034,0.077,617,0.593,184600
