exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-25 09:21:37
2179,4889,5 weeks 5 days ago,58,90,80,atx,2019-01-25 09:21:37
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-25 09:21:37
74,384,5 weeks 3 days ago,37,2,2,blackhills,2019-01-25 09:21:37
201,1147,13 hours 32 min ago,177,62,51,ujimaboston,2019-01-25 09:21:37
17408,52384,10 hours 10 min ago,170,162,196,brattleboro,2019-01-25 09:21:37
1047,6076,1 day 14 hours ago,174,24,32,bridge2rocks,2019-01-25 09:21:37
10985,26278,17 hours 18 min ago,124,106,118,capeann,2019-01-25 09:21:37
396,913,5 days 18 hours ago,50,11,4,care,2019-01-25 09:21:37
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-25 09:21:37
834,2044,3 days 20 hours ago,108,31,32,cris,2019-01-25 09:21:37
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-25 09:21:37
56,102,6 weeks 1 day ago,71,14,14,lincolnskillshare,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-25 09:21:37
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-25 09:21:37
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-25 09:21:37
6307,14395,2 days 16 hours ago,284,123,116,columbia,2019-01-25 09:21:37
6,18,2 weeks 6 days ago,22,6,7,slocanvalley,2019-01-25 09:21:37
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-25 09:21:37
30191,209344,1 week 17 hours ago,225,6881,6857,tdn,2019-01-25 09:21:37
380,975,2 days 19 hours ago,18,80,76,cse,2019-01-25 09:21:37
1439,4889,5 days 16 hours ago,58,41,44,communityskillexchange,2019-01-25 09:21:37
68,115,1 day 17 hours ago,92,77,15,richmondcounty,2019-01-25 09:21:37
